track_name,popularity,duration_ms,release_date
goosebumps,85,243836,2016-09-16
FE!N (feat. Playboi Carti),85,191700,2023-07-28
HIGHEST IN THE ROOM,84,175720,2019-10-04
Trance (with Travis Scott & Young Thug),84,194786,2022-12-02
SICKO MODE,83,312820,2018-08-03
Open Arms (feat. Travis Scott),80,239613,2022-12-08
90210 (feat. Kacy Hill),83,339066,2015-09-04
BUTTERFLY EFFECT,67,190557,2018-08-02
Fair Trade (with Travis Scott),82,291175,2021-09-03
Type Shit,81,228266,2024-03-22
